revenue,class,id,budget,starpower,certification,year,month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,rating,ratingClass
191502426,8,tt0101272,30000000,11000920558,11,1991,11,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.8,6
152368585,8,tt0101393,75000000,19781169355,6,1991,5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,6.7,6
6153939,2,tt0101410,9000000,22026008332,6,1991,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.7,7
377350553,9,tt0101414,25000000,27872758981,14,1991,11,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,8.0,8
57504069,5,tt0101507,6500000,13348646490,6,1991,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.8,7
49114016,5,tt0101516,30000000,11283408125,6,1991,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6.8,6
182300000,8,tt0101540,35000000,16604454500,6,1991,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.3,7
124033791,7,tt0101587,26000000,16192103417,11,1991,6,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.7,6
1193062,2,tt0101615,6000000,1414703562,24,1991,10,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2.8,2
13760640,3,tt0101700,4000000,1812712030,6,1991,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.7,7
25196249,4,tt0101757,10000000,4911660967,11,1991,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.1,6
30102717,4,tt0101764,15000000,3117658195,6,1991,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5.5,5
13878334,3,tt0101775,6788000,5331223484,11,1991,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5.8,5
4603929,2,tt0101786,17000000,6222829010,11,1991,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,6
41895491,5,tt0101889,24000000,15465725354,6,1991,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.6,7
34872033,4,tt0101917,11000000,14774123295,6,1991,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4.9,4
7434726,2,tt0102005,23000000,10747829144,6,1991,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.0,6
15556340,3,tt0102034,30000000,8475533873,6,1991,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4.1,4
300854823,9,tt0102057,70000000,45816030776,24,1991,12,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.7,6
181096164,8,tt0102059,26000000,13400114333,11,1991,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.7,6
17218080,3,tt0102070,65000000,9925399662,6,1991,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,5
205405498,9,tt0102138,40000000,70160778531,6,1991,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,8.0,8
32482682,4,tt0102175,14000000,33863918488,6,1991,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.5,6
59509925,5,tt0102266,29000000,20736118983,6,1991,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9,6
20246790,4,tt0102460,23000000,17248719531,6,1991,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5.9,5
47624253,5,tt0102526,8500000,12275147973,6,1991,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6.6,6
8479793,2,tt0102558,40000000,8953579954,11,1991,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,4
39673161,4,tt0102614,14000000,10128537691,6,1991,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.0,6
83531958,6,tt0102685,24000000,15064826741,6,1991,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.2,7
24941969,4,tt0102729,17010000,5217984709,24,1991,8,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.7,5
390493908,9,tt0102798,48000000,45103243067,11,1991,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,6
11657385,3,tt0102802,18000000,3616399796,14,1991,8,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,6.0,6
62000000,5,tt0102803,42000000,23722677773,24,1991,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6.4,6
2275557,2,tt0102915,8000000,6746257260,6,1991,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.1,6
174999005,8,tt0102945,19000000,8140797971,6,1991,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6.2,6
96900000,6,tt0102975,27000000,20477634273,24,1991,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7.2,7
520000000,9,tt0103064,100000000,46945350785,16,1991,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8.5,8
45361000,5,tt0103074,16000000,16395168220,6,1991,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,7.4,7
63710000,5,tt0103241,35000000,8168176213,24,1991,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,7
159773545,8,tt0103644,50000000,25584578460,6,1992,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6.4,6
2019469,2,tt0103759,1000000,3898542422,21,1992,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.1,7
352927224,9,tt0103772,49000000,31523320632,6,1992,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6.9,6
280000000,9,tt0103776,80000000,19744360013,11,1992,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.0,7
411006740,9,tt0103855,25000000,25262961120,6,1992,11,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,6.2,6
215862692,9,tt0103874,40000000,30186724290,6,1992,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.5,7
25792310,4,tt0103919,6000000,10311832450,6,1992,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6.6,6
22518097,4,tt0103924,24000000,4575708255,11,1992,9,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.7,5
14110589,3,tt0104009,30000000,13405886746,11,1992,7,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.8,4
62548947,5,tt0104036,3705538,12770640496,6,1992,9,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,7.3,7
149022650,7,tt0104070,55000000,16552564910,11,1992,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.5,6
4836637,2,tt0104107,17000000,12643780902,6,1992,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,7
137783840,7,tt0104231,60000000,17683113452,11,1992,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,6.5,6
243240178,9,tt0104257,40000000,24739474415,6,1992,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.7,7
88036683,6,tt0104389,11700000,5179946815,6,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.6,6
12534961,3,tt0104409,5000000,651648715,6,1992,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,5.5,5
75505856,6,tt0104691,40000000,9401034333,6,1992,9,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,7.8,7
